0,pestName
1,Adelgid (Adelges spp.)
2,"Adelgid, Cooley Spruce (Adelges cooleyi)"
3,"Adelgid, Eastern Spruce Gall (Adelges abietis)"
4,"Adelgid, Hemlock Woolly (Adelges tsugae)"
5,"Adelgid, Pine Bark (Pineus strobe)"
6,Ant (Formicidae)
7,"Ant, Carpenter (Camponotus spp.)"
8,"Ant, Fire (Solenopsis geminata)"
9,"Ant, Pharaoh (Monomorium pharaonis)"
10,Aphid (Aphididae)
11,"Aphid, Apple (Aphis pomi)"
12,"Aphid, Artichoke"
13,"Aphid, Bean/Black Bean (Aphis fabae)"
14,"Aphid, Black Peach (Brachycaudus persicae)"
15,"Aphid, Black Pecan (Melanocallis caryaefoliae)"
16,"Aphid, Blackmargined (Monellia caryella)"
17,"Aphid, Blue Alfalfa (Acyrthosiphon kondoi)"
18,"Aphid, Cabbage (Brevicoryne brassicae)"
19,"Aphid, Cotton/Melon (Aphis gossypii)"
20,"Aphid, Cowpea (Aphis craccivora)"
21,"Aphid, European Asparagus (Brachycorynella asparagi)"
22,"Aphid, Foxglove (Aulacorthum solani)"
23,"Aphid, Green Peach (Myzus persicae)"
24,"Aphid, Hop (Phorodon humuli)"
25,"Aphid, Lettuce (Nasonovia ribis-nigri)"
26,"Aphid, Lettuce Root (Pemphigus bursarius)"
27,"Aphid, Melon (Aphis gossypii)"
28,"Aphid, Pea (Acyrthosiphon pisum)"
29,"Aphid, Potato (Macrosiphum euphorbiae)"
30,"Aphid, Rose (Macrosiphum rosae)"
31,"Aphid, Rosy Apple (Dysaphis plantaginea)"
32,"Aphid, Russian Wheat (Diuraphis noxia)"
33,"Aphid, Spotted Alfalfa (Therioaphis maculata)"
34,"Aphid, Willow Carrot (Cavariella aegopodii)"
35,"Aphid, Woolly (Eriosomatinae)"
36,"Aphid, Woolly Apple (Eriosoma lanigerum)"
37,"Aphid, Yellow Pecan (Monelliopsis pecanis)"
38,"Appleworm, lesser (Grapholita prunivora)"
39,Armyworm (All species)
40,Armyworm (Spodoptera spp.)
41,"Armyworm, Beet (Spodoptera exigua)"
42,"Armyworm, Bertha (Mamestra configurata)"
43,"Armyworm, Fall (Spodoptera frugiperda)"
44,"Armyworm, Southern (Spodoptera eridania)"
45,"Armyworm, True (Pseudaletia spp.)"
46,"Armyworm, Western Yellowstriped"
47,"Armyworm, Yellowstriped (Spodoptera ornithogalli)"
48,Bactrocera spp.
49,Bagworm (Thyridopteryx ephemeraeformis)
50,Batrachedra comosae
51,Bed bug (Cimex lectularius)
52,Beetle (Coleoptera)
53,"Beetle, Asian Long-horned (Anoplophora glabripennis)"
54,"Beetle, Asiatic garden"
55,"Beetle, Asparagus"
56,"Beetle, Bark (Scolytidae)"
57,"Beetle, Bean (Acanthoscelides obtectus)"
58,"Beetle, Bean Leaf (Cerotoma trifurcata)"
59,"Beetle, Blister (Meloidae)"
60,"Beetle, Cereal Leaf (Oulema melanopus)"
61,"Beetle, Cigarette (Lasioderma serricorne)"
62,"Beetle, Colorado potato"
63,"Beetle, Corn Rootworm (Diabrotica spp.)"
64,"Beetle, Cucumber/Corn Rootworm"
65,"Beetle, Darkling (Tenebrionidae spp.)"
66,"Beetle, Douglas Fir"
67,"Beetle, Elm (Saperda tridentata)"
68,"Beetle, Elm Bark (various)"
69,"Beetle, Elm Leaf"
70,"Beetle, Flea"
71,"Beetle, Fuller Rose (Asynonychus godmanni)"
72,"Beetle, Grape Bud (Glyptoscelis squamulata)"
73,"Beetle, Green June (Cotinis nitida)"
74,"Beetle, Japanese (Popillia japonica)"
75,"Beetle, June (Cotinis nitida)"
76,"Beetle, Mexican Bean (Epilachna varivestis)"
77,"Beetle, Mountain Pine (Dendroctonus ponderosae)"
78,"Beetle, Oriental"
79,"Beetle, Pine (Dendroctonus spp.)"
80,"Beetle, Potato Flea"
81,"Beetle, Sawtoothed Grain (Oryzaephilus)"
82,"Beetle, Scarab"
83,"Beetle, Southern Pine (Dendroctonus frontalis)"
84,"Beetle, Spotted Cucumber (Diabrotica)"
85,"Beetle, Strawberry Leaf (Galerucella)"
86,"Beetle, Strawberry Sap (Stelidota geminata)"
87,"Beetle, Striped Cucumber (Acalymma vittatum)"
88,"Beetle, Viburnum Leaf"
89,"Beetle, Western Striped Cucumber"
90,"Beetle, Whitefringed (Graphognathus spp.)"
91,Billbug
92,Black flies
93,"Bollworm, Cotton (Helicoverpa zea)"
94,"Bollworm, Old World"
95,"Bollworm, Pink (Pectinophora gossypiella)"
96,Borer (Coleoptera and Lepidoptera)
97,"Borer, Bronze Birch (Agrilus anxius)"
98,"Borer, coffee berry"
99,"Borer, Dogwood (Synanthedon scitula)"
100,"Borer, European Corn (Ostrinia nubilalis)"
101,"Borer, Greater peachtree (Synanthedon exitiosa)"
